feature,importance
hsa-let-7a-1,1
hsa-let-7a-2,1
hsa-let-7a-3,1
hsa-let-7b,1
hsa-let-7c,1
hsa-let-7e,1
hsa-let-7f-2,1
hsa-let-7i,1
hsa-mir-100,1
hsa-mir-101-1,1
hsa-mir-103-1,1
hsa-mir-10a,1
hsa-mir-10b,1
hsa-mir-122,1
hsa-mir-125a,1
hsa-mir-125b-1,1
hsa-mir-126,1
hsa-mir-127,1
hsa-mir-1307,1
hsa-mir-134,1
hsa-mir-140,1
hsa-mir-141,1
hsa-mir-142,1
hsa-mir-143,1
hsa-mir-145,1
hsa-mir-146a,1
hsa-mir-146b,1
hsa-mir-148a,1
hsa-mir-150,1
hsa-mir-151,1
hsa-mir-155,1
hsa-mir-17,1
hsa-mir-181a-1,1
hsa-mir-181a-2,1
hsa-mir-181b-1,1
hsa-mir-182,1
hsa-mir-183,1
hsa-mir-192,1
hsa-mir-194-1,1
hsa-mir-194-2,1
hsa-mir-196b,1
hsa-mir-199a-1,1
hsa-mir-199a-2,1
hsa-mir-199b,1
hsa-mir-200a,1
hsa-mir-200b,1
hsa-mir-200c,1
hsa-mir-203,1
hsa-mir-205,1
hsa-mir-206,1
hsa-mir-20a,1
hsa-mir-21,1
hsa-mir-210,1
hsa-mir-211,1
hsa-mir-215,1
hsa-mir-217,1
hsa-mir-22,1
hsa-mir-221,1
hsa-mir-23a,1
hsa-mir-23b,1
hsa-mir-24-2,1
hsa-mir-25,1
hsa-mir-26a-2,1
hsa-mir-27a,1
hsa-mir-27b,1
hsa-mir-28,1
hsa-mir-29a,1
hsa-mir-29c,1
hsa-mir-302a,1
hsa-mir-302b,1
hsa-mir-30a,1
hsa-mir-30d,1
hsa-mir-30e,1
hsa-mir-320a,1
hsa-mir-338,1
hsa-mir-371,1
hsa-mir-372,1
hsa-mir-373,1
hsa-mir-374a,1
hsa-mir-375,1
hsa-mir-378,1
hsa-mir-379,1
hsa-mir-451,1
hsa-mir-500a,1
hsa-mir-508,1
hsa-mir-509-3,1
hsa-mir-514-1,1
hsa-mir-514-2,1
hsa-mir-514-3,1
hsa-mir-520a,1
hsa-mir-532,1
hsa-mir-584,1
hsa-mir-891a,1
hsa-mir-9-1,1
hsa-mir-9-2,1
hsa-mir-92a-1,1
hsa-mir-92a-2,1
hsa-mir-93,1
hsa-mir-99a,1
hsa-mir-99b,1
